Region/Country/Area,,Year,Series,Value,Footnotes
752,Sweden,2010,Arable land (thousand hectares),"2,619",
752,Sweden,2010,Permanent crops (thousand hectares),3,
752,Sweden,2010,Forest cover (thousand hectares),"28,073",
752,Sweden,2010,Arable land (% of total land area),6.4,Estimate.
752,Sweden,2010,Permanent crops (% of total land area),0,Estimate.
752,Sweden,2010,Forest cover (% of total land area),68.9,Estimate.
752,Sweden,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),57.29,
752,Sweden,2019,Land area (thousand hectares),"40,728",
752,Sweden,2019,Arable land (thousand hectares),"2,540",
752,Sweden,2019,Permanent crops (thousand hectares),3,
752,Sweden,2019,Forest cover (thousand hectares),"27,980",
752,Sweden,2019,Arable land (% of total land area),6.2,
752,Sweden,2019,Permanent crops (% of total land area),0,
752,Sweden,2019,Forest cover (% of total land area),68.7,
752,Sweden,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),59.1,
752,Sweden,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),59.1,
756,Switzerland,2005,Land area (thousand hectares),"3,952",
756,Switzerland,2005,Arable land (thousand hectares),406,
756,Switzerland,2005,Permanent crops (thousand hectares),23,
756,Switzerland,2005,Forest cover (thousand hectares),"1,215",Estimate.
756,Switzerland,2005,Arable land (% of total land area),10.3,
756,Switzerland,2005,Permanent crops (% of total land area),0.6,
756,Switzerland,2005,Forest cover (% of total land area),30.8,Estimate.
756,Switzerland,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),33.27,
756,Switzerland,2010,Land area (thousand hectares),"3,952",
756,Switzerland,2010,Arable land (thousand hectares),405,
756,Switzerland,2010,Permanent crops (thousand hectares),24,
756,Switzerland,2010,Forest cover (thousand hectares),"1,235",
756,Switzerland,2010,Arable land (% of total land area),10.2,
756,Switzerland,2010,Permanent crops (% of total land area),0.6,
756,Switzerland,2010,Forest cover (% of total land area),31.2,
756,Switzerland,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),34.84,
756,Switzerland,2019,Land area (thousand hectares),"3,952",
756,Switzerland,2019,Arable land (thousand hectares),399,
756,Switzerland,2019,Permanent crops (thousand hectares),25,
756,Switzerland,2019,Forest cover (thousand hectares),"1,266",
756,Switzerland,2019,Arable land (% of total land area),10.1,
756,Switzerland,2019,Permanent crops (% of total land area),0.6,
756,Switzerland,2019,Forest cover (% of total land area),32,
756,Switzerland,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),37.03,
756,Switzerland,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),37.03,
760,Syrian Arab Republic,2005,Land area (thousand hectares),"18,357",
760,Syrian Arab Republic,2005,Arable land (thousand hectares),"4,675",
760,Syrian Arab Republic,2005,Permanent crops (thousand hectares),887,
760,Syrian Arab Republic,2005,Forest cover (thousand hectares),462,Estimate.
760,Syrian Arab Republic,2005,Arable land (% of total land area),25.5,
760,Syrian Arab Republic,2005,Permanent crops (% of total land area),4.8,
760,Syrian Arab Republic,2005,Forest cover (% of total land area),2.5,Estimate.
760,Syrian Arab Republic,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),0,
760,Syrian Arab Republic,2010,Land area (thousand hectares),"18,363",
760,Syrian Arab Republic,2010,Arable land (thousand hectares),"4,687",
760,Syrian Arab Republic,2010,Permanent crops (thousand hectares),"1,009",
760,Syrian Arab Republic,2010,Forest cover (thousand hectares),492,
760,Syrian Arab Republic,2010,Arable land (% of total land area),25.5,
760,Syrian Arab Republic,2010,Permanent crops (% of total land area),5.5,
760,Syrian Arab Republic,2010,Forest cover (% of total land area),2.7,
760,Syrian Arab Republic,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),0,
760,Syrian Arab Republic,2019,Land area (thousand hectares),"18,363",Estimate.
760,Syrian Arab Republic,2019,Arable land (thousand hectares),"4,662",Estimate.
760,Syrian Arab Republic,2019,Permanent crops (thousand hectares),"1,071",Estimate.
760,Syrian Arab Republic,2019,Forest cover (thousand hectares),522,
760,Syrian Arab Republic,2019,Arable land (% of total land area),25.4,Estimate.
760,Syrian Arab Republic,2019,Permanent crops (% of total land area),5.8,Estimate.
760,Syrian Arab Republic,2019,Forest cover (% of total land area),2.8,Estimate.
760,Syrian Arab Republic,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),0,
760,Syrian Arab Republic,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),0,
762,Tajikistan,2005,Land area (thousand hectares),"13,996",
762,Tajikistan,2005,Arable land (thousand hectares),757,Estimate.
762,Tajikistan,2005,Permanent crops (thousand hectares),117,
762,Tajikistan,2005,Forest cover (thousand hectares),410,Estimate.
762,Tajikistan,2005,Arable land (% of total land area),5.4,Estimate.
762,Tajikistan,2005,Permanent crops (% of total land area),0.8,
762,Tajikistan,2005,Forest cover (% of total land area),2.9,Estimate.
762,Tajikistan,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),15.77,
762,Tajikistan,2010,Land area (thousand hectares),"13,996",Estimate.
762,Tajikistan,2010,Arable land (thousand hectares),747,Estimate.
762,Tajikistan,2010,Permanent crops (thousand hectares),134,Estimate.
762,Tajikistan,2010,Forest cover (thousand hectares),410,
762,Tajikistan,2010,Arable land (% of total land area),5.3,Estimate.
762,Tajikistan,2010,Permanent crops (% of total land area),1,Estimate.
762,Tajikistan,2010,Forest cover (% of total land area),2.9,Estimate.
762,Tajikistan,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),15.77,
762,Tajikistan,2019,Land area (thousand hectares),"13,879",Estimate.
762,Tajikistan,2019,Arable land (thousand hectares),700,Estimate.
762,Tajikistan,2019,Permanent crops (thousand hectares),153,
762,Tajikistan,2019,Forest cover (thousand hectares),423,
762,Tajikistan,2019,Arable land (% of total land area),5,Estimate.
762,Tajikistan,2019,Permanent crops (% of total land area),1.1,Estimate.
762,Tajikistan,2019,Forest cover (% of total land area),3,Estimate.
762,Tajikistan,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),16.81,
762,Tajikistan,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),16.81,
764,Thailand,2005,Land area (thousand hectares),"51,089",Estimate.
764,Thailand,2005,Arable land (thousand hectares),"15,200",Estimate.
764,Thailand,2005,Permanent crops (thousand hectares),"3,610",Estimate.
764,Thailand,2005,Forest cover (thousand hectares),"19,536",Estimate.
764,Thailand,2005,Arable land (% of total land area),29.8,Estimate.
764,Thailand,2005,Permanent crops (% of total land area),7.1,Estimate.
764,Thailand,2005,Forest cover (% of total land area),38.2,Estimate.
764,Thailand,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),63.36,
764,Thailand,2010,Land area (thousand hectares),"51,089",Estimate.
764,Thailand,2010,Arable land (thousand hectares),"15,760",Estimate.
764,Thailand,2010,Permanent crops (thousand hectares),"4,500",Estimate.
764,Thailand,2010,Forest cover (thousand hectares),"20,073",
764,Thailand,2010,Arable land (% of total land area),30.8,Estimate.
764,Thailand,2010,Permanent crops (% of total land area),8.8,Estimate.
764,Thailand,2010,Forest cover (% of total land area),39.3,Estimate.
764,Thailand,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),66.74,
764,Thailand,2019,Land area (thousand hectares),"51,089",Estimate.
764,Thailand,2019,Arable land (thousand hectares),"16,810",Estimate.
764,Thailand,2019,Permanent crops (thousand hectares),"4,500",Estimate.
764,Thailand,2019,Forest cover (thousand hectares),"19,909",
764,Thailand,2019,Arable land (% of total land area),32.9,Estimate.
764,Thailand,2019,Permanent crops (% of total land area),8.8,Estimate.
764,Thailand,2019,Forest cover (% of total land area),39,Estimate.
764,Thailand,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),68.03,
764,Thailand,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),68.03,
626,Timor-Leste,2005,Land area (thousand hectares),"1,487",
626,Timor-Leste,2005,Arable land (thousand hectares),170,Estimate.
626,Timor-Leste,2005,Permanent crops (thousand hectares),65,Estimate.
626,Timor-Leste,2005,Forest cover (thousand hectares),942,Estimate.
626,Timor-Leste,2005,Arable land (% of total land area),11.4,Estimate.
626,Timor-Leste,2005,Permanent crops (% of total land area),4.4,Estimate.
626,Timor-Leste,2005,Forest cover (% of total land area),63.4,Estimate.
626,Timor-Leste,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),12.97,
626,Timor-Leste,2010,Land area (thousand hectares),"1,487",Estimate.
626,Timor-Leste,2010,Arable land (thousand hectares),150,Estimate.
626,Timor-Leste,2010,Permanent crops (thousand hectares),72,Estimate.
626,Timor-Leste,2010,Forest cover (thousand hectares),935,
626,Timor-Leste,2010,Arable land (% of total land area),10.1,Estimate.
626,Timor-Leste,2010,Permanent crops (% of total land area),4.8,Estimate.
626,Timor-Leste,2010,Forest cover (% of total land area),62.9,Estimate.
626,Timor-Leste,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),40.67,
626,Timor-Leste,2019,Land area (thousand hectares),"1,487",Estimate.
626,Timor-Leste,2019,Arable land (thousand hectares),155,Estimate.
626,Timor-Leste,2019,Permanent crops (thousand hectares),75,Estimate.
626,Timor-Leste,2019,Forest cover (thousand hectares),923,
626,Timor-Leste,2019,Arable land (% of total land area),10.4,Estimate.
626,Timor-Leste,2019,Permanent crops (% of total land area),5,Estimate.
626,Timor-Leste,2019,Forest cover (% of total land area),62,Estimate.
626,Timor-Leste,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),45.58,
626,Timor-Leste,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),45.58,
768,Togo,2005,Land area (thousand hectares),"5,439",Estimate.
768,Togo,2005,Arable land (thousand hectares),"2,100",Estimate.
768,Togo,2005,Permanent crops (thousand hectares),150,Estimate.
768,Togo,2005,Forest cover (thousand hectares),"1,254",Estimate.
768,Togo,2005,Arable land (% of total land area),38.6,Estimate.
768,Togo,2005,Permanent crops (% of total land area),2.8,Estimate.
768,Togo,2005,Forest cover (% of total land area),23,Estimate.
768,Togo,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),79.45,
768,Togo,2010,Land area (thousand hectares),"5,439",Estimate.
768,Togo,2010,Arable land (thousand hectares),"2,460",Estimate.
768,Togo,2010,Permanent crops (thousand hectares),205,Estimate.
768,Togo,2010,Forest cover (thousand hectares),"1,239",
768,Togo,2010,Arable land (% of total land area),45.2,Estimate.
768,Togo,2010,Permanent crops (% of total land area),3.8,Estimate.
768,Togo,2010,Forest cover (% of total land area),22.8,Estimate.
768,Togo,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),79.45,
768,Togo,2019,Land area (thousand hectares),"5,439",Estimate.
768,Togo,2019,Arable land (thousand hectares),"2,650",Estimate.
768,Togo,2019,Permanent crops (thousand hectares),170,Estimate.
768,Togo,2019,Forest cover (thousand hectares),"1,212",
768,Togo,2019,Arable land (% of total land area),48.7,Estimate.
768,Togo,2019,Permanent crops (% of total land area),3.1,Estimate.
768,Togo,2019,Forest cover (% of total land area),22.3,Estimate.
768,Togo,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),79.45,
768,Togo,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),79.45,
772,Tokelau,2005,Land area (thousand hectares),1,
772,Tokelau,2005,Permanent crops (thousand hectares),1,Estimate.
772,Tokelau,2005,Forest cover (thousand hectares),0,Estimate.
772,Tokelau,2005,Permanent crops (% of total land area),60,Estimate.
772,Tokelau,2005,Forest cover (% of total land area),0,Estimate.
772,Tokelau,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),0,
772,Tokelau,2010,Land area (thousand hectares),1,
772,Tokelau,2010,Permanent crops (thousand hectares),1,Estimate.
772,Tokelau,2010,Forest cover (thousand hectares),0,Estimate.
772,Tokelau,2010,Permanent crops (% of total land area),60,Estimate.
772,Tokelau,2010,Forest cover (% of total land area),0,Estimate.
772,Tokelau,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),0,
772,Tokelau,2019,Land area (thousand hectares),1,
772,Tokelau,2019,Permanent crops (thousand hectares),1,Estimate.
772,Tokelau,2019,Forest cover (thousand hectares),0,Estimate.
772,Tokelau,2019,Permanent crops (% of total land area),60,Estimate.
772,Tokelau,2019,Forest cover (% of total land area),0,Estimate.
772,Tokelau,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),0,
772,Tokelau,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),0,
776,Tonga,2005,Land area (thousand hectares),72,Estimate.
776,Tonga,2005,Arable land (thousand hectares),15,Estimate.
776,Tonga,2005,Permanent crops (thousand hectares),11,Estimate.
776,Tonga,2005,Forest cover (thousand hectares),9,Estimate.
776,Tonga,2005,Arable land (% of total land area),20.8,Estimate.
776,Tonga,2005,Permanent crops (% of total land area),15.3,Estimate.
776,Tonga,2005,Forest cover (% of total land area),12.4,Estimate.
776,Tonga,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),26.07,
776,Tonga,2010,Land area (thousand hectares),72,
776,Tonga,2010,Arable land (thousand hectares),17,Estimate.
776,Tonga,2010,Permanent crops (thousand hectares),11,Estimate.
776,Tonga,2010,Forest cover (thousand hectares),9,
776,Tonga,2010,Arable land (% of total land area),23.6,Estimate.
776,Tonga,2010,Permanent crops (% of total land area),15.3,Estimate.
776,Tonga,2010,Forest cover (% of total land area),12.4,
776,Tonga,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),26.07,
776,Tonga,2019,Land area (thousand hectares),72,Estimate.
776,Tonga,2019,Arable land (thousand hectares),20,Estimate.
776,Tonga,2019,Permanent crops (thousand hectares),11,Estimate.
776,Tonga,2019,Forest cover (thousand hectares),9,
776,Tonga,2019,Arable land (% of total land area),27.8,Estimate.
776,Tonga,2019,Permanent crops (% of total land area),15.3,Estimate.
776,Tonga,2019,Forest cover (% of total land area),12.4,Estimate.
776,Tonga,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),26.07,
776,Tonga,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),26.07,
780,Trinidad and Tobago,2005,Land area (thousand hectares),513,
780,Trinidad and Tobago,2005,Arable land (thousand hectares),25,Estimate.
780,Trinidad and Tobago,2005,Permanent crops (thousand hectares),22,Estimate.
780,Trinidad and Tobago,2005,Forest cover (thousand hectares),235,Estimate.
780,Trinidad and Tobago,2005,Arable land (% of total land area),4.9,Estimate.
780,Trinidad and Tobago,2005,Permanent crops (% of total land area),4.3,Estimate.
780,Trinidad and Tobago,2005,Forest cover (% of total land area),45.7,Estimate.
780,Trinidad and Tobago,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),32,
780,Trinidad and Tobago,2010,Land area (thousand hectares),513,
780,Trinidad and Tobago,2010,Arable land (thousand hectares),25,Estimate.
780,Trinidad and Tobago,2010,Permanent crops (thousand hectares),22,Estimate.
780,Trinidad and Tobago,2010,Forest cover (thousand hectares),232,
780,Trinidad and Tobago,2010,Arable land (% of total land area),4.9,Estimate.
780,Trinidad and Tobago,2010,Permanent crops (% of total land area),4.3,Estimate.
780,Trinidad and Tobago,2010,Forest cover (% of total land area),45.3,
780,Trinidad and Tobago,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),32,
780,Trinidad and Tobago,2019,Land area (thousand hectares),513,
780,Trinidad and Tobago,2019,Arable land (thousand hectares),25,Estimate.
780,Trinidad and Tobago,2019,Permanent crops (thousand hectares),22,Estimate.
780,Trinidad and Tobago,2019,Forest cover (thousand hectares),229,
780,Trinidad and Tobago,2019,Arable land (% of total land area),4.9,Estimate.
780,Trinidad and Tobago,2019,Permanent crops (% of total land area),4.3,Estimate.
780,Trinidad and Tobago,2019,Forest cover (% of total land area),44.6,
780,Trinidad and Tobago,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),32,
780,Trinidad and Tobago,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),32,
788,Tunisia,2005,Land area (thousand hectares),"15,536",
788,Tunisia,2005,Arable land (thousand hectares),"2,730",
788,Tunisia,2005,Permanent crops (thousand hectares),"2,166",
788,Tunisia,2005,Forest cover (thousand hectares),678,Estimate.
788,Tunisia,2005,Arable land (% of total land area),17.6,
788,Tunisia,2005,Permanent crops (% of total land area),13.9,
788,Tunisia,2005,Forest cover (% of total land area),4.4,Estimate.
788,Tunisia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),14.69,
788,Tunisia,2010,Land area (thousand hectares),"15,536",
788,Tunisia,2010,Arable land (thousand hectares),"2,823",
788,Tunisia,2010,Permanent crops (thousand hectares),"2,363",
788,Tunisia,2010,Forest cover (thousand hectares),687,
788,Tunisia,2010,Arable land (% of total land area),18.2,
788,Tunisia,2010,Permanent crops (% of total land area),15.2,
788,Tunisia,2010,Forest cover (% of total land area),4.4,
788,Tunisia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),26.01,
788,Tunisia,2019,Land area (thousand hectares),"15,536",Estimate.
788,Tunisia,2019,Arable land (thousand hectares),"2,607",Estimate.
788,Tunisia,2019,Permanent crops (thousand hectares),"2,386",Estimate.
788,Tunisia,2019,Forest cover (thousand hectares),701,
788,Tunisia,2019,Arable land (% of total land area),16.8,Estimate.
788,Tunisia,2019,Permanent crops (% of total land area),15.4,Estimate.
788,Tunisia,2019,Forest cover (% of total land area),4.5,Estimate.
788,Tunisia,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),39.8,
788,Tunisia,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),39.8,
792,Türkiye,2005,Land area (thousand hectares),"76,963",
792,Türkiye,2005,Arable land (thousand hectares),"23,830",
792,Türkiye,2005,Permanent crops (thousand hectares),"2,776",
792,Türkiye,2005,Forest cover (thousand hectares),"20,616",Estimate.
792,Türkiye,2005,Arable land (% of total land area),31,
792,Türkiye,2005,Permanent crops (% of total land area),3.6,
792,Türkiye,2005,Forest cover (% of total land area),26.8,Estimate.
792,Türkiye,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),2.27,
792,Türkiye,2010,Land area (thousand hectares),"76,963",
792,Türkiye,2010,Arable land (thousand hectares),"21,384",
792,Türkiye,2010,Permanent crops (thousand hectares),"3,011",
792,Türkiye,2010,Forest cover (thousand hectares),"21,083",
792,Türkiye,2010,Arable land (% of total land area),27.8,
792,Türkiye,2010,Permanent crops (% of total land area),3.9,
792,Türkiye,2010,Forest cover (% of total land area),27.4,
792,Türkiye,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),2.27,
792,Türkiye,2019,Land area (thousand hectares),"76,963",
792,Türkiye,2019,Arable land (thousand hectares),"19,580",
792,Türkiye,2019,Permanent crops (thousand hectares),"3,519",
792,Türkiye,2019,Forest cover (thousand hectares),"22,064",
792,Türkiye,2019,Arable land (% of total land area),25.4,
792,Türkiye,2019,Permanent crops (% of total land area),4.6,
792,Türkiye,2019,Forest cover (% of total land area),28.7,
792,Türkiye,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),2.33,
792,Türkiye,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),2.33,
795,Turkmenistan,2005,Land area (thousand hectares),"46,993",Estimate.
795,Turkmenistan,2005,Arable land (thousand hectares),"2,040",Estimate.
795,Turkmenistan,2005,Permanent crops (thousand hectares),60,Estimate.
795,Turkmenistan,2005,Forest cover (thousand hectares),"4,127",Estimate.
795,Turkmenistan,2005,Arable land (% of total land area),4.3,Estimate.
795,Turkmenistan,2005,Permanent crops (% of total land area),0.1,Estimate.
795,Turkmenistan,2005,Forest cover (% of total land area),8.8,Estimate.
795,Turkmenistan,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),14.04,
795,Turkmenistan,2010,Land area (thousand hectares),"46,993",Estimate.
795,Turkmenistan,2010,Arable land (thousand hectares),"1,940",Estimate.
795,Turkmenistan,2010,Permanent crops (thousand hectares),60,Estimate.
795,Turkmenistan,2010,Forest cover (thousand hectares),"4,127",Estimate.
795,Turkmenistan,2010,Arable land (% of total land area),4.1,Estimate.
795,Turkmenistan,2010,Permanent crops (% of total land area),0.1,Estimate.
795,Turkmenistan,2010,Forest cover (% of total land area),8.8,Estimate.
795,Turkmenistan,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),14.04,
795,Turkmenistan,2019,Land area (thousand hectares),"46,993",Estimate.
795,Turkmenistan,2019,Arable land (thousand hectares),"1,940",Estimate.
795,Turkmenistan,2019,Permanent crops (thousand hectares),60,Estimate.
795,Turkmenistan,2019,Forest cover (thousand hectares),"4,127",Estimate.
795,Turkmenistan,2019,Arable land (% of total land area),4.1,Estimate.
795,Turkmenistan,2019,Permanent crops (% of total land area),0.1,Estimate.
795,Turkmenistan,2019,Forest cover (% of total land area),8.8,Estimate.
795,Turkmenistan,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),14.04,
795,Turkmenistan,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),14.04,
796,Turks and Caicos Islands,2005,Land area (thousand hectares),95,
796,Turks and Caicos Islands,2005,Arable land (thousand hectares),1,Estimate.
796,Turks and Caicos Islands,2005,Forest cover (thousand hectares),11,Estimate.
796,Turks and Caicos Islands,2005,Arable land (% of total land area),1.1,Estimate.
796,Turks and Caicos Islands,2005,Forest cover (% of total land area),11.1,Estimate.
796,Turks and Caicos Islands,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),27.94,
796,Turks and Caicos Islands,2010,Land area (thousand hectares),95,
796,Turks and Caicos Islands,2010,Arable land (thousand hectares),1,Estimate.
796,Turks and Caicos Islands,2010,Forest cover (thousand hectares),11,Estimate.
796,Turks and Caicos Islands,2010,Arable land (% of total land area),1.1,Estimate.
796,Turks and Caicos Islands,2010,Forest cover (% of total land area),11.1,Estimate.
796,Turks and Caicos Islands,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),27.94,
796,Turks and Caicos Islands,2019,Land area (thousand hectares),95,
796,Turks and Caicos Islands,2019,Arable land (thousand hectares),1,Estimate.
796,Turks and Caicos Islands,2019,Forest cover (thousand hectares),11,Estimate.
796,Turks and Caicos Islands,2019,Arable land (% of total land area),1.1,Estimate.
796,Turks and Caicos Islands,2019,Forest cover (% of total land area),11.1,Estimate.
796,Turks and Caicos Islands,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),27.94,
796,Turks and Caicos Islands,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),27.94,
798,Tuvalu,2005,Land area (thousand hectares),3,
798,Tuvalu,2005,Permanent crops (thousand hectares),2,Estimate.
798,Tuvalu,2005,Forest cover (thousand hectares),1,Estimate.
798,Tuvalu,2005,Permanent crops (% of total land area),56.7,Estimate.
798,Tuvalu,2005,Forest cover (% of total land area),33.3,Estimate.
798,Tuvalu,2010,Land area (thousand hectares),3,
798,Tuvalu,2010,Permanent crops (thousand hectares),2,Estimate.
798,Tuvalu,2010,Forest cover (thousand hectares),1,
798,Tuvalu,2010,Permanent crops (% of total land area),60,Estimate.
798,Tuvalu,2010,Forest cover (% of total land area),33.3,
798,Tuvalu,2019,Land area (thousand hectares),3,
798,Tuvalu,2019,Permanent crops (thousand hectares),2,Estimate.
798,Tuvalu,2019,Forest cover (thousand hectares),1,
798,Tuvalu,2019,Permanent crops (% of total land area),60,Estimate.
798,Tuvalu,2019,Forest cover (% of total land area),33.3,
800,Uganda,2005,Land area (thousand hectares),"19,981",
800,Uganda,2005,Arable land (thousand hectares),"5,950",Estimate.
800,Uganda,2005,Permanent crops (thousand hectares),"2,200",Estimate.
800,Uganda,2005,Forest cover (thousand hectares),"2,957",Estimate.
800,Uganda,2005,Arable land (% of total land area),29.8,Estimate.
800,Uganda,2005,Permanent crops (% of total land area),11,Estimate.
800,Uganda,2005,Forest cover (% of total land area),14.8,Estimate.
800,Uganda,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),65.87,
800,Uganda,2010,Land area (thousand hectares),"20,052",
800,Uganda,2010,Arable land (thousand hectares),"6,750",Estimate.
800,Uganda,2010,Permanent crops (thousand hectares),"2,200",Estimate.
800,Uganda,2010,Forest cover (thousand hectares),"2,750",
800,Uganda,2010,Arable land (% of total land area),33.7,Estimate.
800,Uganda,2010,Permanent crops (% of total land area),11,Estimate.
800,Uganda,2010,Forest cover (% of total land area),13.7,
800,Uganda,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),72.24,
800,Uganda,2019,Land area (thousand hectares),"20,052",Estimate.
800,Uganda,2019,Arable land (thousand hectares),"6,900",Estimate.
800,Uganda,2019,Permanent crops (thousand hectares),"2,200",Estimate.
800,Uganda,2019,Forest cover (thousand hectares),"2,379",
800,Uganda,2019,Arable land (% of total land area),34.4,Estimate.
800,Uganda,2019,Permanent crops (% of total land area),11,Estimate.
800,Uganda,2019,Forest cover (% of total land area),11.9,Estimate.
800,Uganda,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),72.24,
800,Uganda,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),72.24,
804,Ukraine,2005,Land area (thousand hectares),"57,938",
804,Ukraine,2005,Arable land (thousand hectares),"32,452",
804,Ukraine,2005,Permanent crops (thousand hectares),901,
804,Ukraine,2005,Forest cover (thousand hectares),"9,529",Estimate.
804,Ukraine,2005,Arable land (% of total land area),56,
804,Ukraine,2005,Permanent crops (% of total land area),1.6,
804,Ukraine,2005,Forest cover (% of total land area),16.4,Estimate.
804,Ukraine,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),55.99,
804,Ukraine,2010,Land area (thousand hectares),"57,932",
804,Ukraine,2010,Arable land (thousand hectares),"32,477",
804,Ukraine,2010,Permanent crops (thousand hectares),897,
804,Ukraine,2010,Forest cover (thousand hectares),"9,548",
804,Ukraine,2010,Arable land (% of total land area),56.1,
804,Ukraine,2010,Permanent crops (% of total land area),1.5,
804,Ukraine,2010,Forest cover (% of total land area),16.5,
804,Ukraine,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),57.14,
804,Ukraine,2019,Land area (thousand hectares),"57,940",
804,Ukraine,2019,Arable land (thousand hectares),"32,924",
804,Ukraine,2019,Permanent crops (thousand hectares),853,
804,Ukraine,2019,Forest cover (thousand hectares),"9,684",
804,Ukraine,2019,Arable land (% of total land area),56.8,
804,Ukraine,2019,Permanent crops (% of total land area),1.5,
804,Ukraine,2019,Forest cover (% of total land area),16.7,
804,Ukraine,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),59.77,
804,Ukraine,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),59.77,
784,United Arab Emirates,2005,Land area (thousand hectares),"7,102",
784,United Arab Emirates,2005,Arable land (thousand hectares),68,Estimate.
784,United Arab Emirates,2005,Permanent crops (thousand hectares),189,
784,United Arab Emirates,2005,Forest cover (thousand hectares),313,Estimate.
784,United Arab Emirates,2005,Arable land (% of total land area),1,Estimate.
784,United Arab Emirates,2005,Permanent crops (% of total land area),2.7,
784,United Arab Emirates,2005,Forest cover (% of total land area),4.4,Estimate.
784,United Arab Emirates,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),28.56,
784,United Arab Emirates,2010,Land area (thousand hectares),"7,102",
784,United Arab Emirates,2010,Arable land (thousand hectares),51,
784,United Arab Emirates,2010,Permanent crops (thousand hectares),42,
784,United Arab Emirates,2010,Forest cover (thousand hectares),317,Estimate.
784,United Arab Emirates,2010,Arable land (% of total land area),0.7,
784,United Arab Emirates,2010,Permanent crops (% of total land area),0.6,
784,United Arab Emirates,2010,Forest cover (% of total land area),4.5,Estimate.
784,United Arab Emirates,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),28.56,
784,United Arab Emirates,2019,Land area (thousand hectares),"7,102",
784,United Arab Emirates,2019,Arable land (thousand hectares),50,
784,United Arab Emirates,2019,Permanent crops (thousand hectares),41,
784,United Arab Emirates,2019,Forest cover (thousand hectares),317,Estimate.
784,United Arab Emirates,2019,Arable land (% of total land area),0.7,
784,United Arab Emirates,2019,Permanent crops (% of total land area),0.6,
784,United Arab Emirates,2019,Forest cover (% of total land area),4.5,Estimate.
